pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
938.910000,352.540000,1019.190000,245.030000,888.429454,227.217339,869.750000,190.040000
939.120000,352.900000,1020.210000,245.910000,889.610000,224.980000,872.130000,187.500000
939.120000,353.080000,1021.280000,246.900000,890.910000,223.000000,874.550000,185.120000
939.330000,353.290000,1022.290000,247.750000,892.190000,221.000000,877.010000,182.560000
939.710000,353.550000,1023.340000,248.450000,893.540000,219.000000,879.530000,180.230000
940.050000,354.000000,1024.280000,249.070000,895.180000,216.980000,882.120000,177.700000
940.090000,354.250000,1025.070000,249.900000,896.900000,214.990000,884.760000,175.560000
940.270000,354.620000,1025.990000,250.780000,898.640000,213.030000,887.280000,173.130000
940.450000,354.800000,1026.990000,251.550000,900.020000,211.060000,889.960000,170.680000
940.820000,354.990000,1027.780000,252.130000,901.390000,209.080000,892.630000,168.560000
940.980000,355.170000,1028.650000,252.940000,903.140000,207.090000,895.140000,166.220000
941.130000,355.350000,1029.390000,253.780000,905.010000,205.260000,897.920000,164.010000
941.300000,355.710000,1029.960000,254.560000,906.850000,203.080000,900.690000,161.790000
941.450000,355.970000,1030.850000,255.120000,908.920000,201.070000,903.370000,159.700000
941.770000,356.230000,1031.670000,255.900000,910.820000,199.050000,906.160000,157.500000
941.940000,356.390000,1032.070000,256.830000,912.790000,197.130000,909.110000,155.540000
942.100000,356.740000,1032.850000,257.450000,914.760000,195.180000,911.910000,153.370000
942.340000,356.950000,1033.640000,258.110000,916.770000,193.110000,914.870000,151.700000
942.620000,357.110000,1034.060000,258.790000,918.959593,191.719897,917.760000,149.460000
942.840000,357.320000,1034.900000,259.150000,922.400000,188.890000,920.750000,147.830000
942.990000,357.640000,1035.530000,259.920000,922.731127,188.539962,923.600000,145.720000
943.160000,357.850000,1035.910000,260.640000,924.550000,187.690000,926.460000,143.960000
943.370000,358.040000,1036.210000,260.980000,926.580000,186.220000,929.460000,142.150000
943.590000,358.100000,1036.970000,261.590000,928.910000,184.270000,932.450000,140.460000
943.730000,358.250000,1037.610000,262.100000,930.960000,181.970000,935.420000,138.650000
943.920000,358.420000,1037.990000,262.940000,932.980000,180.120000,938.460000,137.020000
943.980000,358.780000,1038.250000,263.780000,935.000000,178.290000,941.520000,135.490000
944.050000,358.930000,1038.930000,264.340000,937.010000,176.510000,944.680000,133.810000
944.120000,359.100000,1039.510000,264.600000,939.020000,175.070000,947.680000,132.300000
944.220000,359.170000,1039.800000,264.920000,941.050000,173.770000,950.670000,130.850000
944.320000,359.250000,1040.020000,265.140000,943.050000,171.950000,953.790000,129.290000
944.340000,359.370000,1040.180000,265.380000,945.130000,170.150000,956.880000,127.850000
944.370000,359.490000,1040.380000,266.010000,947.190000,168.290000,959.990000,126.630000
944.370000,359.840000,1040.950000,266.640000,950.070766,167.241200,963.000000,125.290000
944.410000,359.880000,1041.090000,266.830000,952.660000,165.790000,966.020000,124.070000
944.470000,359.950000,1041.230000,267.020000,954.770000,163.930000,969.060000,122.860000
944.600000,359.950000,1041.410000,267.140000,956.860000,162.120000,972.050000,121.620000
944.610000,360.140000,1041.920000,267.270000,958.920000,160.350000,975.070000,120.400000
944.610000,360.150000,1041.930000,267.410000,961.000000,159.130000,978.050000,119.340000
944.600000,360.150000,1042.020000,267.930000,963.050000,158.000000,981.060000,118.230000
944.590000,360.150000,1042.090000,268.010000,965.090000,156.920000,984.070000,117.140000
944.390000,360.150000,1042.120000,268.020000,967.140000,155.770000,986.980000,116.150000
944.160000,360.150000,1042.140000,268.070000,969.140000,154.700000,989.860000,115.240000
944.060000,360.160000,1042.150000,268.140000,971.210000,153.590000,992.730000,114.210000
943.820000,360.160000,1042.150000,268.150000,973.380000,151.890000,995.610000,113.290000
943.820000,360.160000,1042.160000,268.140000,976.070000,150.110000,998.350000,112.450000
943.670000,360.150000,1042.170000,268.120000,978.521942,150.022601,1001.130000,111.560000
943.470000,360.140000,1042.170000,268.080000,980.990000,149.580000,1003.920000,110.780000
943.180000,360.050000,1042.100000,268.080000,983.090000,148.390000,1006.690000,109.930000
943.010000,359.970000,1042.050000,268.070000,985.180000,146.900000,1009.340000,109.170000
942.790000,359.950000,1041.920000,268.020000,987.210000,145.910000,1012.120000,108.360000
942.560000,359.950000,1041.770000,267.970000,989.240000,144.880000,1014.700000,107.820000
942.230000,359.810000,1041.680000,267.920000,991.260000,143.870000,1017.360000,107.040000
