4841,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.0234,84.4329,80.61592,139.6723,153.0326,38.32491,149.0469,125.7692,102.4422,136.7398,156.5903
0.0235,84.43021,80.61076,139.5832,153.0638,38.31037,148.9994,125.748,102.3837,136.7406,156.5799
0.0236,84.42755,80.6056,139.4941,153.095,38.29605,148.9519,125.7269,102.3255,136.7413,156.569
0.0237,84.42491,80.60043,139.405,153.1262,38.28196,148.9043,125.7058,102.2677,136.742,156.5576
0.0238,84.4223,80.59525,139.3158,153.1574,38.2681,148.8568,125.6847,102.2101,136.7427,156.5457
0.0239,84.41973,80.59007,139.2266,153.1885,38.25446,148.8093,125.6636,102.1528,136.7434,156.5334
0.024,84.41718,80.58487,139.1375,153.2197,38.24105,148.7619,125.6426,102.0957,136.744,156.5206
0.0241,84.41466,80.57968,139.0483,153.2509,38.22786,148.7144,125.6216,102.039,136.7446,156.5074
0.0242,84.41218,80.57448,138.9591,153.2821,38.2149,148.6669,125.6006,101.9826,136.7452,156.4936
0.0243,84.40973,80.56927,138.8699,153.3132,38.20216,148.6195,125.5797,101.9264,136.7458,156.4795
0.0244,84.4073,80.56405,138.7806,153.3444,38.18966,148.572,125.5588,101.8706,136.7464,156.4648
0.0245,84.40491,80.55883,138.6914,153.3756,38.17738,148.5246,125.5379,101.815,136.7469,156.4497
0.0246,84.40255,80.55361,138.6022,153.4068,38.16533,148.4772,125.5171,101.7597,136.7474,156.4342
0.0247,84.40023,80.54838,138.5129,153.438,38.1535,148.4299,125.4963,101.7048,136.7479,156.4182
0.0248,84.39793,80.54315,138.4237,153.4692,38.14191,148.3825,125.4755,101.6501,136.7484,156.4017
0.0249,84.39567,80.53791,138.3344,153.5004,38.13055,148.3352,125.4548,101.5957,136.7488,156.3848
0.025,84.39345,80.53267,138.2451,153.5316,38.11941,148.2879,125.4341,101.5416,136.7493,156.3675
