 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  1.72000E-01   0.00000E+00   0.00000E+00   1.98788E+02   1.08702E+02   1.03558E+02   1.21836E+02   1.04737E+00  -1.94924E-01
  1.73000E-01   0.00000E+00   0.00000E+00   1.98552E+02   1.07735E+02   1.03616E+02   1.23670E+02   1.04717E+00  -2.05434E-01
  1.74000E-01   0.00000E+00   0.00000E+00   1.98313E+02   1.06771E+02   1.03679E+02   1.25238E+02   1.04696E+00  -2.15950E-01
  1.75000E-01   0.00000E+00   0.00000E+00   1.98071E+02   1.05808E+02   1.03747E+02   1.26532E+02   1.04674E+00  -2.26466E-01
  1.76000E-01   0.00000E+00   0.00000E+00   1.97825E+02   1.04849E+02   1.03820E+02   1.27547E+02   1.04651E+00  -2.36980E-01
  1.77000E-01   0.00000E+00   0.00000E+00   1.97576E+02   1.03891E+02   1.03896E+02   1.28278E+02   1.04626E+00  -2.47488E-01
  1.78000E-01   0.00000E+00   0.00000E+00   1.97322E+02   1.02936E+02   1.03975E+02   1.28722E+02   1.04601E+00  -2.57988E-01
  1.79000E-01   0.00000E+00   0.00000E+00   1.97064E+02   1.01983E+02   1.04057E+02   1.28879E+02   1.04575E+00  -2.68475E-01
  1.80000E-01   0.00000E+00   0.00000E+00   1.96801E+02   1.01032E+02   1.04141E+02   1.28749E+02   1.04547E+00  -2.78948E-01
  1.81000E-01   0.00000E+00   0.00000E+00   1.96533E+02   1.00083E+02   1.04228E+02   1.28336E+02   1.04519E+00  -2.89403E-01
  1.82000E-01   0.00000E+00   0.00000E+00   1.96259E+02   9.91356E+01   1.04315E+02   1.27645E+02   1.04490E+00  -2.99840E-01
