485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.244,83.45878,83.91449,145.9275,163.9457,154.2078,50.14525,106.5261,119.0941
0.245,83.41789,83.87514,146.343,163.1811,154.0217,49.67215,106.1305,118.8575
0.246,83.37474,83.83324,146.7547,162.406,153.826,49.21415,105.7077,118.6231
0.247,83.32915,83.78875,147.1616,161.6203,153.6198,48.77146,105.2601,118.391
0.248,83.28095,83.74167,147.5628,160.824,153.4022,48.34435,104.7898,118.1611
0.249,83.23,83.69201,147.9575,160.0171,153.1726,47.93309,104.2994,117.9334
0.25,83.17616,83.63985,148.3451,159.1999,152.9301,47.53796,103.7912,117.7079
0.251,83.1193,83.58529,148.725,158.3724,152.6743,47.15928,103.2678,117.4846
0.252,83.05933,83.52847,149.0966,157.535,152.4047,46.7974,102.7315,117.2635
0.253,82.99617,83.46957,149.4596,156.6881,152.121,46.45268,102.1845,117.0446
0.254,82.92979,83.40883,149.8139,155.8321,151.8228,46.12551,101.6291,116.828
0.255,82.86017,83.34651,150.1595,154.9677,151.5102,45.81632,101.0672,116.6136
0.256,82.78733,83.28291,150.4964,154.0954,151.183,45.52554,100.5004,116.4016
0.257,82.71132,83.21838,150.825,153.2161,150.8415,45.25364,99.93048,116.1919
0.258,82.63224,83.15329,151.1457,152.3305,150.4859,45.00106,99.35862,115.9845
0.259,82.55019,83.08803,151.4591,151.4396,150.1165,44.76829,98.786,115.7796
0.26,82.46534,83.02302,151.7659,150.5443,149.7339,44.5558,98.21359,115.5772
0.261,82.37787,82.9587,152.0671,149.6456,149.3387,44.36402,97.64222,115.3772
0.262,82.28799,82.89549,152.3637,148.7445,148.9317,44.19342,97.07257,115.1798
0.263,82.19595,82.83384,152.6568,147.8422,148.5137,44.04441,96.50523,114.9849
0.264,82.10205,82.77419,152.9477,146.9397,148.0859,43.91737,95.94074,114.7927
0.265,82.0066,82.71696,153.2378,146.038,147.6496,43.81268,95.37955,114.6029
0.266,81.90994,82.66258,153.5285,145.1384,147.206,43.73064,94.82212,114.4157
0.267,81.81248,82.61145,153.8215,144.2419,146.7568,43.67154,94.26889,114.231
0.268,81.71461,82.56396,154.1182,143.3495,146.3034,43.6356,93.72029,114.0486
0.269,81.6168,82.52045,154.4205,142.4624,145.8478,43.62302,93.17678,113.8686
0.27,81.51952,82.48125,154.7298,141.5815,145.3916,43.6339,92.63886,113.6906
0.271,81.42325,82.44665,155.0479,140.7078,144.9369,43.66834,92.10707,113.5146
0.272,81.32852,82.4169,155.3765,139.8423,144.4855,43.72633,91.58199,113.3403
0.273,81.23586,82.39221,155.7169,138.9859,144.0395,43.80784,91.06427,113.1675
0.274,81.14581,82.37274,156.0708,138.1393,143.6008,43.91278,90.55463,112.996
0.275,81.05894,82.35862,156.4396,137.3032,143.1713,44.041,90.05385,112.8256
0.276,80.97581,82.34994,156.8245,136.4785,142.753,44.19229,89.5628,112.6559
0.277,80.89698,82.34672,157.2266,135.6658,142.3477,44.36642,89.08243,112.4868
0.278,80.82299,82.34896,157.6471,134.8655,141.9571,44.56309,88.61377,112.318
0.279,80.75441,82.35661,158.0867,134.0781,141.583,44.78197,88.15793,112.1492
0.28,80.69176,82.3696,158.5463,133.3042,141.227,45.02269,87.71609,111.9802
0.281,80.63555,82.3878,159.0263,132.5441,140.8906,45.28485,87.28953,111.8108
0.282,80.58625,82.41105,159.5272,131.7981,140.5752,45.56803,86.87956,111.6409
0.283,80.54432,82.43916,160.0493,131.0665,140.2821,45.87176,86.48756,111.4702
0.284,80.51016,82.47193,160.5925,130.3494,140.0124,46.19558,86.11495,111.2987
0.285,80.48415,82.50911,161.1569,129.647,139.7671,46.539,85.76318,111.1263
0.286,80.46662,82.55045,161.7421,128.9594,139.5471,46.90152,85.43374,110.9528
0.287,80.45784,82.59568,162.3478,128.2867,139.3531,47.28263,85.12813,110.7784
0.288,80.45806,82.64451,162.9734,127.6289,139.1856,47.68181,84.84788,110.6031
0.289,80.46743,82.69665,163.6182,126.986,139.0452,48.09854,84.59453,110.4269
0.29,80.4861,82.7518,164.2814,126.3579,138.9321,48.5323,84.36962,110.2501
0.291,80.51411,82.80965,164.9621,125.7444,138.8464,48.98255,84.17473,110.0726
0.292,80.55148,82.8699,165.6593,125.1454,138.7883,49.44876,84.0114,109.8949
0.293,80.59815,82.93225,166.3718,124.5608,138.7577,49.93038,83.88123,109.717
0.294,80.65403,82.99639,167.0985,123.9903,138.7545,50.42688,83.78577,109.5394
0.295,80.71895,83.06204,167.8382,123.4336,138.7784,50.93769,83.72662,109.3623
0.296,80.79269,83.1289,168.5897,122.8903,138.8293,51.46228,83.70532,109.1862
0.297,80.87501,83.1967,169.3516,122.3603,138.9066,52.00009,83.72346,109.0113
0.298,80.9656,83.26517,170.1227,121.8431,139.0102,52.55058,83.78255,108.838
0.299,81.06411,83.33408,170.9018,121.3383,139.1395,53.1132,83.88413,108.6669
0.3,81.17014,83.40316,171.6875,120.8455,139.294,53.68739,84.02967,108.4983
0.301,81.28327,83.47219,172.4787,120.3643,139.4733,54.27261,84.22063,108.3325
0.302,81.40302,83.54094,173.2741,119.8942,139.6767,54.86832,84.4584,108.17
0.303,81.52891,83.60918,174.0726,119.4347,139.9036,55.47397,84.74432,108.0111
0.304,81.66041,83.67673,174.8728,118.9855,140.1533,56.08903,85.07965,107.8561
0.305,81.79699,83.74338,175.6738,118.5459,140.4251,56.71298,85.46558,107.7053
0.306,81.93809,83.80895,176.4743,118.1156,140.7182,57.34531,85.9032,107.559
0.307,82.08317,83.87328,177.2735,117.694,141.0317,57.98551,86.3935,107.4175
0.308,82.23166,83.93622,178.0702,117.2808,141.3647,58.63311,86.93734,107.2808
0.309,82.38303,83.99763,178.8635,116.8755,141.7162,59.28765,87.53547,107.1491
0.31,82.5367,84.05739,179.6526,116.4777,142.0851,59.94868,88.18844,107.0227
0.311,82.69216,84.11541,180.4365,116.0871,142.4704,60.61579,88.89668,106.9015
0.312,82.84886,84.17157,181.2146,115.7033,142.8708,61.28859,89.66041,106.7856
0.313,83.00629,84.22581,181.9859,115.3261,143.285,61.96671,90.47963,106.6751
